year,destination,orign,refugees_value,AS_value
2012,Albania,Syrian Arab Rep.,0,3
2013,Albania,Syrian Arab Rep.,0,15
2014,Albania,Syrian Arab Rep.,0,8
2004,Algeria,Syrian Arab Rep.,3,1
2005,Algeria,Syrian Arab Rep.,3,
2006,Algeria,Syrian Arab Rep.,3,
2007,Algeria,Syrian Arab Rep.,3,1
2011,Algeria,Syrian Arab Rep.,0,4
2012,Algeria,Syrian Arab Rep.,0,236
2013,Algeria,Syrian Arab Rep.,0,1080
2014,Algeria,Syrian Arab Rep.,0,4108
2004,Austria,Syrian Arab Rep.,75,
2005,Austria,Syrian Arab Rep.,122,
2006,Austria,Syrian Arab Rep.,167,290
2007,Austria,Syrian Arab Rep.,255,326
2008,Austria,Syrian Arab Rep.,333,357
2009,Austria,Syrian Arab Rep.,385,495
2010,Austria,Syrian Arab Rep.,505,471
2011,Austria,Syrian Arab Rep.,903,456
2012,Austria,Syrian Arab Rep.,1675,694
2013,Austria,Syrian Arab Rep.,2748,1561
2014,Austria,Syrian Arab Rep.,2748,0
2004,Belgium,Syrian Arab Rep.,80,253
2005,Belgium,Syrian Arab Rep.,115,409
2006,Belgium,Syrian Arab Rep.,100,153
2007,Belgium,Syrian Arab Rep.,114,0
2008,Belgium,Syrian Arab Rep.,152,0
2009,Belgium,Syrian Arab Rep.,177,0
2010,Belgium,Syrian Arab Rep.,229,0
2011,Belgium,Syrian Arab Rep.,312,666
2012,Belgium,Syrian Arab Rep.,355,938
2013,Belgium,Syrian Arab Rep.,1987,378
2014,Belgium,Syrian Arab Rep.,2620,733
2004,Bulgaria,Syrian Arab Rep.,72,2
2005,Bulgaria,Syrian Arab Rep.,78,
2006,Bulgaria,Syrian Arab Rep.,79,
2007,Bulgaria,Syrian Arab Rep.,85,0
2008,Bulgaria,Syrian Arab Rep.,86,4
2009,Bulgaria,Syrian Arab Rep.,90,10
2010,Bulgaria,Syrian Arab Rep.,95,30
2011,Bulgaria,Syrian Arab Rep.,98,70
2012,Bulgaria,Syrian Arab Rep.,97,0
2013,Bulgaria,Syrian Arab Rep.,2104,2500
2014,Bulgaria,Syrian Arab Rep.,8501,2510
2010,Croatia,Syrian Arab Rep.,0,4
2011,Croatia,Syrian Arab Rep.,0,4
2012,Croatia,Syrian Arab Rep.,12,40
2013,Croatia,Syrian Arab Rep.,22,37
2014,Croatia,Syrian Arab Rep.,22,6
2004,Cyprus,Syrian Arab Rep.,26,532
2005,Cyprus,Syrian Arab Rep.,42,1535
2006,Cyprus,Syrian Arab Rep.,50,2461
2007,Cyprus,Syrian Arab Rep.,65,2262
2008,Cyprus,Syrian Arab Rep.,70,1010
2009,Cyprus,Syrian Arab Rep.,95,404
2010,Cyprus,Syrian Arab Rep.,125,242
2011,Cyprus,Syrian Arab Rep.,137,345
2012,Cyprus,Syrian Arab Rep.,139,946
2013,Cyprus,Syrian Arab Rep.,316,1319
2014,Cyprus,Syrian Arab Rep.,1451,1109
2004,Czech Rep.,Syrian Arab Rep.,14,
2005,Czech Rep.,Syrian Arab Rep.,13,12
2006,Czech Rep.,Syrian Arab Rep.,14,31
2007,Czech Rep.,Syrian Arab Rep.,15,18
2008,Czech Rep.,Syrian Arab Rep.,16,38
2009,Czech Rep.,Syrian Arab Rep.,15,56
2010,Czech Rep.,Syrian Arab Rep.,23,36
2011,Czech Rep.,Syrian Arab Rep.,23,0
2012,Czech Rep.,Syrian Arab Rep.,54,70
2013,Czech Rep.,Syrian Arab Rep.,149,25
2014,Czech Rep.,Syrian Arab Rep.,236,54
2004,Denmark,Syrian Arab Rep.,177,18
2005,Denmark,Syrian Arab Rep.,188,12
2006,Denmark,Syrian Arab Rep.,213,11
2007,Denmark,Syrian Arab Rep.,218,43
2008,Denmark,Syrian Arab Rep.,272,30
2009,Denmark,Syrian Arab Rep.,392,152
2010,Denmark,Syrian Arab Rep.,750,483
2011,Denmark,Syrian Arab Rep.,1197,93
2012,Denmark,Syrian Arab Rep.,1903,115
2013,Denmark,Syrian Arab Rep.,3271,86
2014,Denmark,Syrian Arab Rep.,7253,1468
2004,Egypt,Syrian Arab Rep.,1,3
2005,Egypt,Syrian Arab Rep.,2,
2006,Egypt,Syrian Arab Rep.,4,9
2007,Egypt,Syrian Arab Rep.,4,15
2008,Egypt,Syrian Arab Rep.,9,10
2009,Egypt,Syrian Arab Rep.,9,1
2010,Egypt,Syrian Arab Rep.,8,2
2011,Egypt,Syrian Arab Rep.,9,85
2012,Egypt,Syrian Arab Rep.,12836,0
2013,Egypt,Syrian Arab Rep.,131659,
2014,Egypt,Syrian Arab Rep.,138381,
2004,France,Syrian Arab Rep.,205,
2005,France,Syrian Arab Rep.,213,
2006,France,Syrian Arab Rep.,216,
2007,France,Syrian Arab Rep.,217,0
2008,France,Syrian Arab Rep.,233,0
2009,France,Syrian Arab Rep.,244,0
2010,France,Syrian Arab Rep.,280,0
2011,France,Syrian Arab Rep.,351,0
2012,France,Syrian Arab Rep.,640,0
2013,France,Syrian Arab Rep.,1474,343
2014,France,Syrian Arab Rep.,2882,1239
2004,Germany,Syrian Arab Rep.,16184,475
2005,Germany,Syrian Arab Rep.,10469,2888
2006,Germany,Syrian Arab Rep.,5845,2117
2007,Germany,Syrian Arab Rep.,6996,1414
2008,Germany,Syrian Arab Rep.,8205,1418
2009,Germany,Syrian Arab Rep.,10217,1811
2010,Germany,Syrian Arab Rep.,10518,2690
2011,Germany,Syrian Arab Rep.,10155,4713
2012,Germany,Syrian Arab Rep.,18165,5986
2013,Germany,Syrian Arab Rep.,21253,10566
2014,Germany,Syrian Arab Rep.,40994,29591
2004,Greece,Syrian Arab Rep.,50,28
2005,Greece,Syrian Arab Rep.,49,29
2006,Greece,Syrian Arab Rep.,50,11
2007,Greece,Syrian Arab Rep.,47,392
2008,Greece,Syrian Arab Rep.,39,127
2009,Greece,Syrian Arab Rep.,19,0
2010,Greece,Syrian Arab Rep.,16,2217
2011,Greece,Syrian Arab Rep.,10,0
2012,Greece,Syrian Arab Rep.,20,0
2013,Greece,Syrian Arab Rep.,195,1665
2014,Greece,Syrian Arab Rep.,3913,182
2004,Hungary,Syrian Arab Rep.,29,4
2005,Hungary,Syrian Arab Rep.,44,5
2006,Hungary,Syrian Arab Rep.,46,14
2007,Hungary,Syrian Arab Rep.,42,26
2008,Hungary,Syrian Arab Rep.,44,31
2009,Hungary,Syrian Arab Rep.,43,3
2010,Hungary,Syrian Arab Rep.,39,8
2011,Hungary,Syrian Arab Rep.,42,0
2012,Hungary,Syrian Arab Rep.,86,0
2013,Hungary,Syrian Arab Rep.,141,184
2014,Hungary,Syrian Arab Rep.,334,823
2006,Iran (Islamic Rep. of),Syrian Arab Rep.,0,1
2009,Iran (Islamic Rep. of),Syrian Arab Rep.,0,1
2010,Iran (Islamic Rep. of),Syrian Arab Rep.,0,1
2004,Iraq,Syrian Arab Rep.,489,602
2005,Iraq,Syrian Arab Rep.,627,774
2006,Iraq,Syrian Arab Rep.,663,911
2007,Iraq,Syrian Arab Rep.,590,976
2008,Iraq,Syrian Arab Rep.,534,1012
2009,Iraq,Syrian Arab Rep.,757,127
2010,Iraq,Syrian Arab Rep.,254,968
2011,Iraq,Syrian Arab Rep.,323,1391
2012,Iraq,Syrian Arab Rep.,63586,1185
2013,Iraq,Syrian Arab Rep.,212809,1164
2014,Iraq,Syrian Arab Rep.,234196,1225
2004,Israel,Syrian Arab Rep.,1,
2005,Israel,Syrian Arab Rep.,2,2
2006,Israel,Syrian Arab Rep.,2,2
2007,Israel,Syrian Arab Rep.,2,2
2008,Israel,Syrian Arab Rep.,1,2
2013,Israel,Syrian Arab Rep.,1,
2014,Israel,Syrian Arab Rep.,0,
2004,Italy,Syrian Arab Rep.,41,
2005,Italy,Syrian Arab Rep.,47,
2006,Italy,Syrian Arab Rep.,62,
2007,Italy,Syrian Arab Rep.,84,0
2008,Italy,Syrian Arab Rep.,110,0
2009,Italy,Syrian Arab Rep.,190,0
2010,Italy,Syrian Arab Rep.,211,29
2011,Italy,Syrian Arab Rep.,262,0
2012,Italy,Syrian Arab Rep.,445,507
2013,Italy,Syrian Arab Rep.,840,278
2014,Italy,Syrian Arab Rep.,1144,331
2004,Jordan,Syrian Arab Rep.,37,77
2005,Jordan,Syrian Arab Rep.,40,65
2006,Jordan,Syrian Arab Rep.,42,57
2007,Jordan,Syrian Arab Rep.,41,60
2008,Jordan,Syrian Arab Rep.,44,124
2009,Jordan,Syrian Arab Rep.,138,144
2010,Jordan,Syrian Arab Rep.,198,287
2011,Jordan,Syrian Arab Rep.,193,2618
2012,Jordan,Syrian Arab Rep.,238798,491
2013,Jordan,Syrian Arab Rep.,585304,0
